3fga,3fga_diff,3fgm,3fgm_diff,3pt%,3pt%_diff,ast,ast_diff,blk,blk_diff,cnu_score,date,day,def,def_diff,fg%,fg%_diff,fga,fga_diff,fgm,fgm_diff,ft%,ft%_diff,fta,fta_diff,ftm,ftm_diff,home,month,off,off_diff,opp_3fga,opp_3fgm,opp_3pt%,opp_ast,opp_blk,opp_def,opp_fg%,opp_fga,opp_fgm,opp_ft%,opp_fta,opp_ftm,opp_off,opp_pf,opp_ppg avg,opp_pts,opp_rb avg,opp_score,opp_stl,opp_t/o,opp_tot,opponent,overtime,pf,pf_diff,ppg avg,pts,ranked,rb avg,season,stl,stl_diff,t/o,t/o_diff,tot,tot_diff,weekday,win,year
28,2,11,2,0.393,0.04712,23,15,5,-4,109,2018-11-25,25,31,8,0.464,0.1311,84,21,39,18,0.833,0.01807,24,-3,20,-2,1,11,23,10,26,9,0.346,8,9,23,0.333,63,21,0.815,27,22,13,24,59.8,73,37.8,73,6,21,36,JOHN CARROLL,0,26,2,78.8,109,0,45.2,2018-2019,7,1,12,-9,54,18,6,1,2018
26,4,9,2,0.346,0.02783,16,9,6,3,91,2018-11-28,28,42,12,0.485,0.124,66,-6,32,6,0.581,0.10596,31,-9,18,-1,0,11,12,-3,22,7,0.318,7,3,30,0.361,72,26,0.475,40,19,15,24,63.4,78,39.2,78,14,10,45,SHENANDOAH UNIVERSITY,0,26,2,81.2,91,0,47.0,2018-2019,2,-12,20,10,54,9,2,1,2018
28,15,11,7,0.393,0.08496,12,6,2,-1,82,2018-12-01,1,35,13,0.467,0.1621,60,1,28,10,0.833,0.2178,18,5,15,7,1,12,10,2,13,4,0.308,6,3,22,0.305,59,18,0.615,13,8,8,16,60.8,48,37.7,48,5,9,30,RANDOLPH,0,13,-3,81.3,82,0,46.7,2018-2019,4,-1,10,1,45,15,5,1,2018
30,13,8,1,0.267,-0.145,10,4,1,-2,64,2018-12-02,2,27,-11,0.373,-0.0659,59,2,22,-3,0.571,-0.2622,21,-3,12,-8,0,12,5,-1,17,7,0.412,6,3,38,0.439,57,25,0.833,24,20,6,22,63.1,77,38.6,77,7,9,44,LYNCHBURG UNIVERSITY,0,19,-3,78.9,64,0,44.6,2018-2019,2,-5,12,3,32,-12,6,0,2018
26,13,9,5,0.346,0.03784,12,5,6,3,72,2018-12-08,8,26,5,0.424,0.02002,59,2,25,2,0.722,-0.01074,18,3,13,2,1,12,16,6,13,4,0.308,7,3,21,0.404,57,23,0.733,15,11,10,17,62.9,61,37.6,61,4,6,31,RANDOLPH-MACON,0,14,-3,78.0,72,0,44.2,2018-2019,3,-1,8,2,42,11,5,1,2018
25,11,12,8,0.48,0.1941,19,12,2,-8,97,2018-12-16,16,30,12,0.5,0.11694,70,10,35,12,0.75,0.0698,20,-5,15,-2,1,12,20,7,14,4,0.286,7,10,18,0.383,60,23,0.68,25,17,13,19,63.3,67,36.9,67,6,12,31,VIRGINIA WESLEYAN UNIVERSITY,0,19,0,80.1,97,0,44.9,2018-2019,5,-1,12,0,50,19,6,1,2018
43,28,15,13,0.349,0.2161,17,11,3,0,80,2018-12-28,28,38,14,0.433,0.165,67,11,29,14,0.7,0.0752,10,-14,7,-8,1,12,16,7,15,2,0.133,6,3,24,0.268,56,15,0.625,24,15,9,16,61.7,47,36.5,47,6,14,33,MT. ST. MARY (NY),0,22,6,80.1,80,0,45.8,2018-2019,6,0,16,2,54,21,4,1,2018
28,19,10,7,0.357,0.02393,17,9,9,8,79,2018-12-29,29,30,9,0.407,0.10986,54,-10,22,3,0.806,0.1953,31,13,25,14,1,12,16,-3,9,3,0.333,8,1,21,0.297,64,19,0.611,18,11,19,24,60.8,52,36.8,52,12,19,40,HUNTINGDON,0,18,-6,80.0,79,0,45.8,2018-2019,8,-4,19,0,46,6,5,1,2018
22,2,5,-4,0.227,-0.2229,7,0,4,2,73,2019-01-02,2,18,-2,0.392,-0.0679,51,1,20,-3,0.778,-0.1113,36,18,28,12,1,1,16,6,20,9,0.45,7,2,20,0.46,50,23,0.889,18,16,10,28,61.7,71,36.2,71,4,14,30,YORK (PA.),0,19,-9,79.4,73,0,44.8,2018-2019,9,5,10,-4,34,4,2,1,2019
25,8,10,2,0.4,-0.07104,12,0,2,-3,61,2019-01-05,5,29,0,0.392,0.00903,51,-9,20,-3,0.647,-0.2349,17,0,11,-4,0,1,5,-4,17,8,0.471,12,5,29,0.383,60,23,0.882,17,15,9,15,62.2,69,36.4,69,7,11,38,MARY WASHINGTON,0,17,2,78.0,61,0,44.0,2018-2019,3,-4,14,3,34,-4,5,0,2019
26,15,11,8,0.423,0.1501,19,11,11,7,79,2019-01-09,9,40,18,0.5,0.254,54,-7,27,12,0.737,0.05762,19,-9,14,-5,1,1,6,-7,11,3,0.273,8,4,22,0.246,61,15,0.679,28,19,13,21,61.5,52,36.3,52,11,15,35,ST. MARY'S (MD.),0,20,-1,78.1,79,0,44.1,2018-2019,6,-5,18,3,46,11,2,1,2019
21,0,7,2,0.333,0.095,12,-4,1,-4,75,2019-01-12,12,29,8,0.441,0.02588,59,-6,26,-1,0.727,0.06006,22,13,16,10,0,1,16,6,21,5,0.238,16,5,21,0.415,65,27,0.667,9,6,10,19,61.7,65,35.9,65,7,8,31,FROSTBURG STATE UNIVERSITY,0,12,-7,77.9,75,0,44.2,2018-2019,2,-5,13,5,45,14,5,1,2019
30,17,10,7,0.333,0.10205,19,4,5,-3,77,2019-01-16,16,20,-4,0.448,0.04102,67,13,30,8,0.778,0.07764,9,-1,7,0,0,1,12,5,13,3,0.231,15,8,24,0.407,54,22,0.7,10,7,7,16,61.2,54,35.6,54,3,12,31,SOUTHERN VIRGINIA UNIVERSITY,0,11,-5,77.8,77,0,43.4,2018-2019,6,3,7,-5,32,1,2,1,2019
35,23,13,10,0.371,0.1211,24,12,4,2,89,2019-01-19,19,23,0,0.478,0.0781,69,14,33,11,0.714,0.04688,14,-7,10,-4,1,1,17,3,12,3,0.25,12,2,23,0.4,55,22,0.667,21,14,14,15,61.2,61,35.7,61,4,15,37,PENN STATE HARRISBURG,0,21,6,78.5,89,0,43.2,2018-2019,7,3,11,-4,40,3,5,1,2019
25,8,9,5,0.36,0.1251,14,11,6,-1,67,2019-01-23,23,33,-4,0.387,-0.02612,62,-1,24,-2,0.455,-0.3447,22,12,10,2,1,1,9,3,17,4,0.235,3,7,37,0.413,63,26,0.8,10,8,6,21,61.4,64,36.1,64,3,12,43,SALISBURY,0,11,-10,77.8,67,0,43.2,2018-2019,8,5,8,-4,42,-1,2,1,2019
22,0,10,4,0.455,0.1821,13,6,1,-1,81,2019-01-26,26,25,0,0.5,0.0559,54,0,27,3,0.607,-0.1929,28,-7,17,-11,0,1,10,2,22,6,0.273,7,2,25,0.444,54,24,0.8,35,28,8,21,62.5,82,35.9,82,10,14,33,YORK (PA.),0,26,5,78.0,81,0,42.7,2018-2019,6,-4,16,2,35,2,5,0,2019
28,14,12,7,0.429,0.072,15,3,1,-3,79,2019-01-30,30,18,-10,0.438,-0.062,64,6,28,-1,0.846,0.1621,13,-6,11,-2,0,1,10,-1,14,5,0.357,12,4,28,0.5,58,29,0.684,19,13,11,19,63.2,76,36.1,76,4,13,39,ST. MARY'S (MD.),0,15,-4,78.1,79,0,42.0,2018-2019,3,-1,8,-5,28,-11,2,1,2019
27,1,12,4,0.444,0.136,24,13,4,4,80,2019-02-02,2,34,15,0.569,0.2148,51,-14,29,6,0.769,0.1982,13,-8,10,-2,1,2,6,-6,26,8,0.308,11,0,19,0.354,65,23,0.571,21,12,12,18,63.3,66,35.9,66,13,11,31,MARY WASHINGTON,0,19,1,78.1,80,0,41.9,2018-2019,6,-7,20,9,40,9,5,1,2019
28,8,8,-1,0.286,-0.1641,12,-1,1,-12,67,2019-02-06,6,29,-7,0.278,-0.146,72,13,20,-5,0.704,0.148,27,18,19,14,1,2,21,14,20,9,0.45,13,13,36,0.424,59,25,0.556,9,5,7,20,63.3,64,36.2,64,2,14,43,SOUTHERN VIRGINIA UNIVERSITY,0,13,-7,77.6,67,0,42.3,2018-2019,6,4,7,-7,50,7,2,1,2019
25,16,9,7,0.36,0.1381,12,5,4,-5,72,2019-02-09,9,28,4,0.382,-0.03296,55,2,21,-1,0.875,0.1831,24,-2,21,3,1,2,11,5,9,2,0.222,7,9,24,0.415,53,22,0.692,26,18,6,21,63.3,64,35.9,64,2,8,30,FROSTBURG STATE UNIVERSITY,0,18,-3,77.4,72,0,42.1,2018-2019,2,0,12,4,39,9,5,1,2019
28,10,15,8,0.536,0.1472,15,7,3,-1,91,2019-02-13,13,32,14,0.544,0.08496,57,-4,31,3,0.824,0.1772,17,0,14,3,0,2,10,5,18,7,0.389,8,4,18,0.459,61,28,0.647,17,11,5,17,63.8,74,35.4,74,8,8,23,SALISBURY,0,14,-3,78.0,91,0,42.1,2018-2019,4,-4,19,11,42,19,2,1,2019
31,18,14,10,0.452,0.1438,17,10,3,-1,96,2019-02-16,16,36,14,0.557,0.2351,61,2,34,15,0.824,0.1992,17,1,14,4,0,2,6,-2,13,4,0.308,7,4,22,0.322,59,19,0.625,16,10,8,15,63.3,52,35.2,52,5,9,30,PENN STATE HARRISBURG,0,12,-3,78.7,96,0,42.1,2018-2019,5,0,9,0,42,12,5,1,2019
36,20,18,14,0.5,0.25,26,16,2,-2,89,2019-02-19,19,24,-3,0.47,0.02808,66,14,31,8,0.75,0.0,12,0,9,0,1,2,10,5,16,4,0.25,10,4,27,0.442,52,23,0.75,12,9,5,16,63.2,59,35.0,59,6,18,32,SOUTHERN VIRGINIA UNIVERSITY,0,12,-4,79.1,89,0,41.8,2018-2019,9,3,8,-10,34,2,1,1,2019
21,-1,9,2,0.429,0.11084,16,9,2,-2,87,2019-02-21,21,25,8,0.556,0.1353,45,-12,25,1,0.7,-0.062,40,19,28,12,1,2,8,-3,22,7,0.318,7,4,17,0.421,57,24,0.762,21,16,11,31,63.4,71,34.8,71,7,12,28,SALISBURY,0,22,-9,79.4,87,0,41.5,2018-2019,5,-2,12,0,33,5,3,1,2019
26,-8,8,1,0.308,0.10205,10,-1,3,-1,78,2019-02-23,23,38,11,0.474,0.135,57,-2,27,7,0.64,-0.00293,25,11,16,7,1,2,9,3,34,7,0.206,11,4,27,0.339,59,20,0.643,14,9,6,21,63.2,56,34.7,56,8,12,33,YORK (PA.),0,17,-4,79.3,78,0,41.7,2018-2019,6,-2,14,2,47,14,5,1,2019
23,6,8,4,0.348,0.1129,18,13,3,-5,85,2019-03-01,1,28,3,0.435,0.08496,62,2,27,6,0.793,-0.02002,29,13,23,10,1,3,14,1,17,4,0.235,5,8,25,0.35,60,21,0.813,16,13,13,26,63.0,59,34.8,59,5,18,38,ALBERTUS MAGNUS,0,14,-12,79.5,85,0,41.7,2018-2019,9,4,11,-7,42,4,4,1,2019
34,13,16,11,0.471,0.2329,20,15,5,2,88,2019-03-02,2,37,12,0.47,0.126,66,2,31,9,0.833,-0.167,12,8,10,6,1,3,12,7,21,5,0.238,5,3,25,0.344,64,22,1.0,4,4,5,15,62.7,53,34.7,53,6,11,30,ALFRED,0,12,-3,79.8,88,0,41.9,2018-2019,5,-1,11,0,49,19,5,1,2019
14,-14,5,-4,0.357,0.0359,8,-6,1,-8,75,2019-03-08,8,38,11,0.394,0.00806,66,-4,26,-1,0.72,0.1494,25,18,18,14,0,3,16,8,28,9,0.321,14,9,27,0.386,70,27,0.571,7,4,8,19,62.8,67,34.7,67,3,8,35,HAMILTON,0,13,-6,79.6,75,0,42.3,2018-2019,3,0,13,5,54,19,4,1,2019
22,-1,7,-1,0.318,-0.02979,12,0,2,-1,79,2019-03-09,9,20,-3,0.481,0.00903,54,1,26,1,0.769,-0.03076,26,11,20,8,1,3,7,-3,23,8,0.348,12,3,23,0.472,53,25,0.8,15,12,10,25,63.1,70,34.6,70,7,17,33,WILLIAMS,0,16,-9,79.6,79,0,41.8,2018-2019,7,0,11,-6,27,-6,5,1,2019
25,10,6,0,0.24,-0.1599,10,1,0,-9,63,2019-03-15,15,30,-5,0.323,-0.168,65,8,21,-7,0.714,0.2139,21,5,15,7,1,3,12,8,15,6,0.4,9,9,35,0.491,57,28,0.5,16,8,4,17,63.3,70,34.8,70,2,13,39,SWARTHMORE,0,21,4,79.1,63,0,41.8,2018-2019,6,4,10,-3,42,3,4,0,2019
25,5,10,3,0.4,0.0498,11,1,0,-1,74,2019-11-09,9,28,3,0.462,0.05103,52,-4,24,1,0.667,-0.166,24,-6,16,-9,0,11,5,-3,20,7,0.35,10,1,25,0.411,56,23,0.833,30,25,8,21,78.0,78,33.0,78,7,11,33,JOHNS HOPKINS,0,25,4,74.0,74,0,33.0,2019-2020,5,-2,15,4,33,0,5,0,2019
32,10,10,4,0.313,0.04004,20,11,6,0,85,2019-11-12,12,38,11,0.41,0.0908,83,11,34,11,0.778,0.11084,9,-6,7,-3,1,11,22,8,22,6,0.273,9,6,27,0.319,72,23,0.667,15,10,14,17,70.0,62,37.0,62,8,14,41,SHENANDOAH UNIVERSITY,0,18,1,79.5,85,0,46.5,2019-2020,6,-2,17,3,60,19,1,1,2019
25,14,8,6,0.32,0.1381,19,13,2,-1,87,2019-11-15,15,34,11,0.455,0.09814,66,10,30,10,0.76,0.02295,25,6,19,5,1,11,13,9,11,2,0.182,6,3,23,0.357,56,20,0.737,19,14,4,20,65.3,56,33.7,56,8,20,27,MARYWOOD UNIVERSITY,0,16,-4,82.0,87,0,46.7,2019-2020,12,4,13,-7,47,20,4,1,2019
17,4,9,7,0.529,0.3748,17,12,1,0,74,2019-11-16,16,25,10,0.549,0.0847,51,-5,28,2,0.692,-0.01416,13,-4,9,-3,0,11,10,3,13,2,0.154,5,1,15,0.464,56,26,0.706,17,12,7,13,65.5,66,30.8,66,11,17,22,FRANKLIN & MARSHALL,0,15,2,80.0,74,0,43.8,2019-2020,11,0,23,6,35,13,5,1,2019
32,17,10,5,0.313,-0.02002,15,5,8,0,66,2019-11-22,22,36,5,0.325,-0.00806,80,11,26,3,0.8,0.02197,5,-4,4,-3,1,11,23,11,15,5,0.333,10,8,31,0.333,69,23,0.778,9,7,12,9,64.0,58,33.2,58,9,14,43,RANDOLPH,0,11,2,77.2,66,0,46.8,2019-2020,8,-1,16,2,59,16,4,1,2019
26,-5,7,-3,0.269,-0.05396,15,4,3,-1,79,2019-11-23,23,30,3,0.388,-0.006104,67,-4,26,-2,0.769,0.08105,26,10,20,9,1,11,18,1,31,10,0.323,11,4,27,0.394,71,28,0.688,16,11,17,21,66.2,77,35.0,77,9,10,44,LYNCHBURG UNIVERSITY,0,13,-8,77.5,79,0,47.0,2019-2020,3,-6,10,0,48,4,5,1,2019
28,12,16,13,0.571,0.3828,27,13,4,0,90,2019-11-30,30,31,10,0.542,0.155,59,-3,32,8,0.769,0.1221,13,-4,10,-1,1,11,8,0,16,3,0.188,14,4,21,0.387,62,24,0.647,17,11,8,20,65.6,62,34.1,62,13,12,29,UT DALLAS,0,19,-1,79.3,90,0,45.9,2019-2020,6,-7,17,5,39,10,5,1,2019
22,3,8,4,0.364,0.153,12,3,7,5,58,2019-12-01,1,23,1,0.412,-0.004883,51,-9,21,-4,0.667,-0.208,12,4,8,1,1,12,12,-1,19,4,0.211,9,2,22,0.417,60,25,0.875,8,7,13,19,65.0,61,34.2,61,9,14,35,WISC.-STEVENS POINT,0,14,-5,76.6,58,0,44.5,2019-2020,6,-3,19,5,35,0,6,0,2019
21,-1,6,1,0.286,0.05884,20,15,7,2,83,2019-12-04,4,33,8,0.429,0.1431,70,14,30,14,0.586,-0.03613,29,-8,17,-6,1,12,22,7,22,5,0.227,5,5,25,0.286,56,16,0.622,37,23,15,22,64.4,60,34.9,60,10,20,40,WILLIAM PEACE,0,24,2,77.3,83,0,45.7,2019-2020,8,-2,17,-3,55,15,2,1,2019
15,0,4,0,0.267,0.0,13,-2,3,-2,62,2019-12-07,7,24,1,0.4,-0.125,55,-6,22,-10,0.7,0.01221,20,4,14,3,0,12,13,4,15,4,0.267,15,5,23,0.525,61,32,0.688,16,11,9,20,65.9,79,34.6,79,9,7,32,RANDOLPH-MACON,0,13,-7,75.8,62,0,44.8,2019-2020,6,-3,18,11,37,5,5,0,2019
10,-2,3,-2,0.3,-0.11694,5,-5,0,-6,64,2019-12-15,15,23,-6,0.388,-0.12085,67,12,26,-2,0.6,0.00928,15,-7,9,-4,0,12,15,5,12,5,0.417,10,6,29,0.509,55,28,0.591,22,13,10,18,66.6,74,35.0,74,7,16,39,VIRGINIA WESLEYAN UNIVERSITY,0,19,1,74.7,64,0,44.2,2019-2020,11,4,11,-5,38,-1,6,0,2019
25,9,6,2,0.24,-0.01001,25,17,8,0,96,2019-12-28,28,39,12,0.449,0.1589,78,16,35,17,0.69,0.02295,29,11,20,8,1,12,20,11,16,4,0.25,8,8,27,0.29,62,18,0.667,18,12,9,24,65.4,52,35.1,52,5,19,36,BETHANY,0,17,-7,76.5,96,0,45.4,2019-2020,12,7,9,-10,59,23,5,1,2019
41,21,16,10,0.39,0.08984,28,19,8,7,97,2019-12-29,29,36,9,0.486,0.186,70,0,34,13,0.542,-0.1719,24,-18,13,-17,1,12,14,-5,20,6,0.3,9,1,27,0.3,70,21,0.714,42,30,19,22,66.4,78,35.9,78,13,17,46,WESLEY,0,28,6,78.1,97,0,45.8,2019-2020,5,-8,20,3,50,4,6,1,2019
26,13,12,9,0.462,0.231,22,13,1,0,89,2020-01-02,2,33,7,0.516,0.165,64,7,33,13,0.611,0.02783,18,-6,11,-3,0,1,10,2,13,3,0.231,9,1,26,0.351,57,20,0.583,24,14,8,14,65.7,57,35.8,57,5,13,34,WASHINGTON COLLEGE,0,23,9,78.9,89,0,45.6,2019-2020,7,2,12,-1,43,9,3,1,2020
24,6,10,4,0.417,0.084,19,6,7,5,92,2020-01-04,4,30,4,0.531,0.0818,64,-5,34,3,0.609,-0.1133,23,5,14,1,0,1,11,0,18,6,0.333,13,2,26,0.449,69,31,0.722,18,13,11,21,66.7,81,35.9,81,2,11,37,WIDENER,0,17,-4,79.7,92,0,45.3,2019-2020,1,-1,13,2,41,4,5,1,2020
23,2,7,0,0.304,-0.02905,15,5,4,1,79,2020-01-10,10,35,7,0.484,0.0928,62,-7,30,3,0.6,0.2322,20,1,12,5,1,1,9,-6,21,7,0.333,10,3,28,0.391,69,27,0.368,19,7,15,19,66.8,68,36.3,68,12,17,43,YORK (PA.),0,23,4,79.7,79,0,45.2,2019-2020,7,-5,19,2,44,1,4,1,2020
31,6,10,2,0.323,0.00293,22,9,0,-2,83,2020-01-15,15,33,6,0.446,0.095,65,8,29,9,0.625,-0.01123,24,13,15,8,0,1,12,6,25,8,0.32,13,2,27,0.351,57,20,0.636,11,7,6,23,66.1,55,36.1,55,8,18,33,SOUTHERN VIRGINIA UNIVERSITY,0,14,-9,79.9,83,0,45.2,2019-2020,10,2,15,-3,45,12,2,1,2020
30,15,14,8,0.467,0.06714,22,17,3,-3,97,2020-01-18,18,31,9,0.477,0.001953,65,6,31,3,0.913,0.1802,23,-7,21,-1,0,1,14,6,15,6,0.4,5,6,22,0.475,59,28,0.733,30,22,8,21,67.1,84,35.8,84,8,13,30,MARY WASHINGTON,0,22,1,80.8,97,0,45.2,2019-2020,6,-2,15,2,45,15,5,1,2020
24,11,9,7,0.375,0.221,14,8,6,4,72,2020-01-25,25,32,8,0.404,0.00708,57,-6,23,-2,0.654,-0.01318,26,8,17,5,0,1,13,2,13,2,0.154,6,2,24,0.397,63,25,0.667,18,12,11,23,66.9,64,35.7,64,7,12,35,SALISBURY,0,18,-5,80.4,72,0,45.2,2019-2020,4,-3,14,2,45,10,5,1,2020
29,22,14,12,0.483,0.197,18,10,7,4,93,2020-01-29,29,38,13,0.516,0.1572,64,0,33,10,0.722,0.2461,18,-3,13,3,1,1,11,-1,7,2,0.286,8,3,25,0.359,64,23,0.476,21,10,12,22,66.5,58,35.8,58,7,17,37,ST. MARY'S (MD.),0,19,-3,81.0,93,0,45.3,2019-2020,8,1,15,-2,49,12,2,1,2020
32,9,13,8,0.406,0.189,18,10,4,-1,81,2020-02-01,1,31,2,0.422,0.04712,64,0,27,3,0.7,0.01807,20,-2,14,-1,1,2,13,-1,23,5,0.217,8,5,29,0.375,64,24,0.682,22,15,14,18,66.6,68,36.1,68,6,11,43,MARY WASHINGTON,0,19,1,81.0,81,0,45.3,2019-2020,4,-2,9,-2,44,1,5,1,2020
25,4,13,10,0.52,0.377,20,15,8,5,93,2020-02-05,5,35,15,0.521,0.144,73,4,38,12,0.5,0.0791,8,-11,4,-4,0,2,18,2,21,3,0.143,5,3,20,0.377,69,26,0.421,19,8,16,14,66.4,63,36.1,63,9,13,36,ST. MARY'S (MD.),0,20,6,81.5,93,0,45.6,2019-2020,8,-1,12,-1,53,17,2,1,2020
40,13,16,11,0.4,0.2148,20,11,2,-1,97,2020-02-08,8,36,1,0.419,-0.005127,74,8,31,3,0.613,-0.1284,31,-23,19,-21,0,2,15,4,27,5,0.185,9,3,35,0.424,66,28,0.741,54,40,11,26,67.9,101,36.6,101,6,12,46,YORK (PA.),1,41,15,82.2,97,0,45.9,2019-2020,4,-2,19,7,51,5,5,0,2020
27,14,7,3,0.259,-0.04907,16,9,5,-1,82,2020-02-15,15,29,3,0.444,0.02002,72,13,32,7,0.5,-0.269,22,9,11,1,1,2,20,13,13,4,0.308,7,6,26,0.424,59,25,0.769,13,10,7,21,67.8,64,36.4,64,4,8,33,SALISBURY,0,13,-8,82.2,82,0,46.0,2019-2020,3,-1,6,-2,49,16,5,1,2020
28,1,10,0,0.357,-0.01318,26,17,4,2,84,2020-02-19,19,23,2,0.569,0.158,58,2,33,10,0.571,-0.1431,14,0,8,-2,1,2,9,-3,27,10,0.37,9,2,21,0.411,56,23,0.714,14,10,12,16,67.7,66,36.3,66,6,18,33,SOUTHERN VIRGINIA UNIVERSITY,0,15,-1,82.3,84,0,45.4,2019-2020,10,4,13,-5,32,-1,2,1,2020
28,7,13,7,0.464,0.1782,22,14,5,4,100,2020-02-26,26,38,20,0.567,0.294,67,1,38,20,0.786,-0.08887,14,-10,11,-10,1,2,14,2,21,6,0.286,8,1,18,0.273,66,18,0.875,24,21,12,17,67.5,63,36.0,63,13,13,30,ST. MARY'S (MD.),0,18,1,83.0,100,0,45.7,2019-2020,7,-6,18,5,52,22,2,1,2020
27,-18,9,-3,0.333,0.0659,10,-4,5,0,77,2020-02-29,29,30,3,0.439,0.04907,66,-11,29,-1,0.625,-0.1528,16,7,10,3,1,2,13,-6,45,12,0.267,14,5,27,0.39,77,30,0.778,9,7,19,16,67.9,79,36.4,79,8,10,46,YORK (PA.),0,14,-2,82.7,77,0,45.6,2019-2020,3,-5,11,1,43,-3,5,0,2020
24,-2,4,-4,0.167,-0.1411,15,4,1,-3,74,2020-03-06,6,34,6,0.397,0.02002,68,-1,27,1,0.667,0.334,24,12,16,12,1,3,15,2,26,8,0.308,11,4,28,0.377,69,26,0.333,12,4,13,20,67.8,64,36.6,64,1,13,41,COLBY,0,18,-2,82.4,74,0,45.7,2019-2020,6,5,11,-2,49,8,4,1,2020
24,-10,12,-2,0.5,0.0879,16,-1,3,-3,91,2020-03-07,7,32,9,0.432,0.00879,74,3,32,2,0.6,-0.127,25,14,15,7,1,3,23,13,34,14,0.412,17,6,23,0.423,71,30,0.727,11,8,10,22,68.3,82,36.4,82,7,11,33,NICHOLS,0,13,-9,82.7,91,0,46.0,2019-2020,8,1,14,3,55,22,5,1,2020
